BASE_DT,JEJU_TA,JEJU_TD,JEJU_HM,JEJU_WS,JEJU_WD_DEG,JEJU_PA,JEJU_DI,JEJU_ST,JEJU_SI,GOSAN_TA,GOSAN_TD,GOSAN_HM,GOSAN_WS,GOSAN_WD_DEG,GOSAN_PA,GOSAN_DI,GOSAN_ST,GOSAN_SI,SUNGSAN_TA,SUNGSAN_TD,SUNGSAN_HM,SUNGSAN_WS,SUNGSAN_WD_DEG,SUNGSAN_PA,SUNGSAN_DI,SUNGSAN_ST,SUNGSAN_SI,SEOGWIPO_TA,SEOGWIPO_TD,SEOGWIPO_HM,SEOGWIPO_WS,SEOGWIPO_WD_DEG,SEOGWIPO_PA,SEOGWIPO_DI,SEOGWIPO_ST,SEOGWIPO_SI,TOTAL_LOAD
01-01-12 1:00,8,0,58,5,320,1022,49,5,,8,1,62,9,320,1015,49,4,,7,1,66,3,290,1021,47,5,,8,-1,53,2,320,1017,49,7,,520
01-01-12 2:00,8,-1,52,5,320,1022,49,5,,8,1,61,9,320,1015,49,4,,6,1,69,2,320,1022,46,5,,7,0,59,1,320,1017,48,7,,494
01-01-12 3:00,8,-1,53,5,320,1022,49,5,,8,1,60,8,320,1015,49,4,,7,1,68,2,20,1022,47,5,,8,0,56,4,320,1017,49,6,,475
01-01-12 4:00,8,-1,53,4,290,1022,50,6,,9,1,58,8,320,1015,50,5,,7,0,61,2,320,1022,48,5,,8,-1,53,3,320,1017,50,6,,463
01-01-12 5:00,8,1,63,4,340,1022,49,5,,9,2,65,11,320,1015,49,4,,7,0,65,1,320,1022,47,7,,8,-1,54,2,290,1017,49,7,,464
01-01-12 6:00,8,2,68,5,340,1022,48,5,,9,2,64,9,320,1015,50,5,,6,1,74,0,0,1022,45,6,,8,0,58,1,160,1018,49,8,,474
01-01-12 7:00,8,1,62,6,320,1022,49,5,,8,2,64,11,320,1015,49,4,,6,3,80,1,360,1022,45,6,,8,1,60,3,20,1018,49,7,,484
01-01-12 8:00,8,0,59,6,320,1022,49,5,0,8,1,63,10,320,1016,49,4,0,6,3,83,1,290,1022,44,6,,9,0,55,3,340,1018,50,7,,471
01-01-12 9:00,8,0,57,6,320,1023,49,5,0,8,1,61,10,320,1016,49,4,0,7,2,71,3,320,1023,46,5,,9,0,54,2,340,1019,50,7,,459
01-01-12 10:00,8,0,57,6,320,1023,49,5,0,8,0,59,11,320,1016,49,3,0,7,2,72,1,320,1023,46,7,,9,0,54,5,290,1018,50,6,,451
01-01-12 11:00,8,1,61,6,320,1023,48,4,0,7,0,62,11,320,1017,48,2,0,7,2,71,1,320,1023,46,7,,8,0,55,4,290,1018,50,6,,452
